,names of movies,year of release and duration,ratiings
0,1. The Shawshank Redemption,19722h 55mR,9.2
1,2. The Godfather,20082h 32mPG-13,9.0
2,3. The Dark Knight,19743h 22mR,9.0
3,4. The Godfather Part II,19571h 36mApproved,9.0
4,5. 12 Angry Men,20033h 21mPG-13,9.0
5,6. The Lord of the Rings: The Return of the King,19933h 15mR,9.0
6,7. Schindler's List,19942h 34mR,8.8
7,8. Pulp Fiction,20012h 58mPG-13,8.9
8,9. The Lord of the Rings: The Fellowship of the Ring,19662h 58mR,8.8
9,"10. The Good, the Bad and the Ugly",19942h 22mPG-13,8.8
10,11. Forrest Gump,20022h 59mPG-13,8.8
11,12. The Lord of the Rings: The Two Towers,19992h 19mR,8.8
12,13. Fight Club,20102h 28mPG-13,8.8
13,14. Inception,19802h 4mPG,8.7
14,15. Star Wars: Episode V - The Empire Strikes Back,19992h 16mR,8.7
15,16. The Matrix,19902h 25mR,8.7
16,17. Goodfellas,20142h 49mPG-13,8.7
17,18. Interstellar,19752h 13mR,8.7
18,19. One Flew Over the Cuckoo's Nest,19952h 7mR,8.6
19,20. Se7en,19462h 10mPG,8.6
